S.no,state,Registered_Users
1,Puducherry,49318
2,Tamil Nadu,2104754
3,Uttar Pradesh,4694250
4,Madhya Pradesh,2553603
5,Andhra Pradesh,3336450
6,Tripura,55157
7,Lakshadweep,501
8,Manipur,29925
9,Maharashtra,6106994
10,Dadra and Nagar Haveli and Daman and Diu,53258
11,Meghalaya,18513
12,Andaman & Nicobar,6740
13,Haryana,1847357
14,Rajasthan,3158202
15,Ladakh,8784
16,Punjab,847142
17,Assam,385237
18,Jharkhand,885762
19,Odisha,1594015
20,Bihar,2133804
21,Kerala,784184
22,Karnataka,3717763
23,Chandigarh,86268
24,Telangana,3315560
25,Himachal Pradesh,227373
26,West Bengal,2604789
27,Gujarat,2690048
28,Sikkim,20051
29,Nagaland,15074
30,Mizoram,7593
31,Chhattisgarh,679263
32,Jammu & Kashmir,176425
33,Goa,91936
34,Arunachal Pradesh,21495
35,Delhi,2087022
36,Uttarakhand,483043
